set_a	set_b	intersection	jaccard
αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	αCD3_5min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	32	0.5423728813559322
αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION.txt	26	0.5416666666666666
αCD3_αCD226_5min__GOBP_GROWTH.txt	αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	19	0.6333333333333333
αCD3_αCD226_5min__GOBP_GROWTH.txt	αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	19	0.6333333333333333
αCD3_5min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION.txt	18	0.35294117647058826
αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	16	0.7272727272727273
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	15	0.8333333333333334
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	13	0.15476190476190477
αCD3_5min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	αCD3_10min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	12	0.5217391304347826
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	αCD3_αICOS_5min__nan.txt	11	0.15714285714285714
αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	αCD3_5min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	10	0.12195121951219512
